make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
BMW,750,BMW 750i,Silver,Limousine,Zuzwil,Hinterradantrieb,3,1997,69600.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera S,Silver,Coupé,Zuzwil,Hinterradantrieb,8,2005,39400.0,Km,car,"",null,null,null,null,null
Ferrari,MONDIAL,FERRARI Mondial 3.4 T,Silver,Coupé,Zuzwil,Hinterradantrieb,5,1992,16500.0,Km,car,"",null,null,null,null,null
BMW,X5,BMW X5 4.4i,Silver,SUV / Geländewagen,Zuzwil,Allrad,3,2002,60100.0,Km,car,"",null,null,null,null,null
Ferrari,F12,FERRARI F12 Berlinetta,Blue,Coupé,Zuzwil,Hinterradantrieb,1,2013,12000.0,Km,car,"",null,null,null,null,null
Ford,ESCORT,FORD ESCORT RS 2000,Silver,Coupé,Zuzwil,Hinterradantrieb,3,1978,96600.0,Km,car,"",null,null,null,null,null
Mercedes,SL 320,MERCEDES-BENZ SL 320,Silver,Cabriolet,Zuzwil,Hinterradantrieb,8,1999,83600.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera 4S,Silver,Coupé,Zuzwil,Allrad,2,2006,101200.0,Km,car,"",null,null,null,null,null
Toyota,LAND CRUISER,TOYOTA LAND CRUISER FJ 40,Silver,SUV / Geländewagen,Zuzwil,Allrad,2,1982,5000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 500,MERCEDES-BENZ SL 500,Silver,Cabriolet,Zuzwil,Hinterradantrieb,10,1996,27600.0,Km,car,"",null,null,null,null,null
Renault,Alpine A110,RENAULT Alpine A110 1600S,Silver,Coupé,Zuzwil,Hinterradantrieb,3,1970,57700.0,Km,car,"",null,null,null,null,null
Datsun,280,DATSUN 280 ZX,Silver,Coupé,Zuzwil,Hinterradantrieb,3,1981,50300.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 GT2,Silver,Coupé,Zuzwil,Hinterradantrieb,9,2001,53400.0,Km,car,"",null,null,null,null,null
Lamborghini,MURCIÉLAGO,LAMBORGHINI Murciélago 6.2 Coupé,Silver,Coupé,Porrentruy,Allrad,2,2003,9000.0,Km,car,"",null,null,null,null,null
Mercedes,ML 350,MERCEDES-BENZ ML 350 Inspiration,Silver,SUV / Geländewagen,Zuzwil,Allrad,10,2003,126300.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,Blue,Limousine,Zuzwil,Allrad,11,2003,26300.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,Silver,Coupé,Zuzwil,Allrad,3,2003,94500.0,Km,car,"",null,null,null,null,null
BMW,M3,BMW M3 CSL,Silver,Coupé,Zuzwil,Hinterradantrieb,11,2003,35000.0,Km,car,"",null,null,null,null,null
Mitsubishi,LANCER,MITSUBISHI LANCER EVO V,Silver,Limousine,Zuzwil,Allrad,1,1999,120800.0,Km,car,"",null,null,null,null,null
Mercedes,"",MERCEDES-BENZ 6.7 BRABUS,Silver,Coupé,Zuzwil,Hinterradantrieb,2,2000,75300.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera 4,Silver,Coupé,Zuzwil,Allrad,11,2000,38200.0,Km,car,"",null,null,null,null,null
